eco_datetime_solar,Unnamed: 0,name,lat,lon,datetime_utc,eco_datetime_solar,hour_of_day,orbit,sceneid,build,process_count,lst_median,eco_LE,daily_median,alexi_median,valid,calibrated,L2_LSTE_QC,L2_CLOUD_QC,Landsat8_QC,MOD04_QC,MOD06_1km_QC,MOD06_5km_QC,MOD07_QC,MCD12Q1_QC,MOD13Q1_QC,MOD17A2H_QC,MCD43A3_QC,MOD44W_QC,uncertainty_median,geo_filename,ptjpl_filename,ptjpl_subset,ptjpl_map,ptjpl_neighborhood,daily_subset,daily_map,daily_neighborhood,alexi_filename,alexi_subset,alexi_map,alexi_neighborhood,uncertainty_filename,uncertainty_subset,uncertainty_map,uncertainty_neighborhood,LE_eco_mean,LE_eco_std,LE_eco_iq1,LE_eco_iq3,LE_nonans,LE_eco_mean_inset,LE_eco_std_inset,LE_eco_iq1_inset,LE_eco_iq3_inset,LE_nonans_inset
10/6/19 9:06,0,au_asm,-22.283,133.249,10/6/19 0:10,10/6/19 9:06,9.104444444,7087,15,601,2,312.019989,176.322403,166.0603638,,TRUE,TRUE,60352,1,240,0,0,0,51,0,2116,0,0,1,74.88785553,/ops/store3/PRODUCTS/L1B_GEO/2019/10/06/ECOSTRESS_L1B_GEO_07087_015_20191006T001042_0601_02.h5,/ops/store/PRODUCTS/L3_ET_PT_JPL/2019/10/06/ECOSTRESS_L3_ET_PT-JPL_07087_015_20191006T001042_0601_02.h5,raster/ECOSTRESS_L3_ET_PT-JPL_07087_015_20191006T001042_0601_02.ETinst.au_asm.tif,map/ECOSTRESS_L3_ET_PT-JPL_07087_015_20191006T001042_0601_02.ETinst.au_asm.jpeg,neighborhood/ECOSTRESS_L3_ET_PT-JPL_07087_015_20191006T001042_0601_02.ETinst.au_asm.csv,raster/ECOSTRESS_L3_ET_PT-JPL_07087_015_20191006T001042_0601_02.ETdaily.au_asm.tif,map/ECOSTRESS_L3_ET_PT-JPL_07087_015_20191006T001042_0601_02.ETdaily.au_asm.jpeg,neighborhood/ECOSTRESS_L3_ET_PT-JPL_07087_015_20191006T001042_0601_02.ETdaily.au_asm.csv,,,,,/ops/store/PRODUCTS/L3_ET_PT_JPL/2019/10/06/ECOSTRESS_L3_ET_PT-JPL_07087_015_20191006T001042_0601_02.h5,raster/ECOSTRESS_L3_ET_PT-JPL_07087_015_20191006T001042_0601_02.ETinstUncertainty.au_asm.tif,map/ECOSTRESS_L3_ET_PT-JPL_07087_015_20191006T001042_0601_02.ETinstUncertainty.au_asm.jpeg,neighborhood/ECOSTRESS_L3_ET_PT-JPL_07087_015_20191006T001042_0601_02.ETinstUncertainty.au_asm.csv,176.28172,0.654531803,175.89,176.759,25,176.0134444,0.351931847,175.737,176.188,9
5/25/19 14:17,0,au_asm,-22.283,133.249,5/25/19 5:29,5/25/19 14:17,14.29,5011,4,600,2,307.2799988,162.1014252,142.7805328,,TRUE,TRUE,39872,1,160,0,0,0,51,0,2116,0,0,1,110.5673065,/ops/store2/PRODUCTS/L1B_GEO/2019/05/25/ECOSTRESS_L1B_GEO_05011_004_20190525T052909_0600_02.h5,/ops/store2/PRODUCTS/L3_ET_PT_JPL/2019/05/25/ECOSTRESS_L3_ET_PT-JPL_05011_004_20190525T052909_0600_01.h5,raster/ECOSTRESS_L3_ET_PT-JPL_05011_004_20190525T052909_0600_01.ETinst.au_asm.tif,map/ECOSTRESS_L3_ET_PT-JPL_05011_004_20190525T052909_0600_01.ETinst.au_asm.jpeg,neighborhood/ECOSTRESS_L3_ET_PT-JPL_05011_004_20190525T052909_0600_01.ETinst.au_asm.csv,raster/ECOSTRESS_L3_ET_PT-JPL_05011_004_20190525T052909_0600_01.ETdaily.au_asm.tif,map/ECOSTRESS_L3_ET_PT-JPL_05011_004_20190525T052909_0600_01.ETdaily.au_asm.jpeg,neighborhood/ECOSTRESS_L3_ET_PT-JPL_05011_004_20190525T052909_0600_01.ETdaily.au_asm.csv,,,,,/ops/store2/PRODUCTS/L3_ET_PT_JPL/2019/05/25/ECOSTRESS_L3_ET_PT-JPL_05011_004_20190525T052909_0600_01.h5,raster/ECOSTRESS_L3_ET_PT-JPL_05011_004_20190525T052909_0600_01.ETinstUncertainty.au_asm.tif,map/ECOSTRESS_L3_ET_PT-JPL_05011_004_20190525T052909_0600_01.ETinstUncertainty.au_asm.jpeg,neighborhood/ECOSTRESS_L3_ET_PT-JPL_05011_004_20190525T052909_0600_01.ETinstUncertainty.au_asm.csv,162.0834783,3.774451136,160.7945,164.014,25,162.4657778,4.031380899,162.472,164.014,9
6/5/19 10:00,0,au_asm,-22.283,133.249,6/5/19 1:14,6/5/19 10:00,10.00194444,5179,15,600,3,291.3999939,174.0313873,145.27771,,TRUE,TRUE,65472,1,160,0,0,0,51,0,2116,0,0,1,92.48445892,/ops/store2/PRODUCTS/L1B_GEO/2019/06/05/ECOSTRESS_L1B_GEO_05179_015_20190605T011459_0600_03.h5,/ops/store2/PRODUCTS/L3_ET_PT_JPL/2019/06/05/ECOSTRESS_L3_ET_PT-JPL_05179_015_20190605T011459_0600_01.h5,raster/ECOSTRESS_L3_ET_PT-JPL_05179_015_20190605T011459_0600_01.ETinst.au_asm.tif,map/ECOSTRESS_L3_ET_PT-JPL_05179_015_20190605T011459_0600_01.ETinst.au_asm.jpeg,neighborhood/ECOSTRESS_L3_ET_PT-JPL_05179_015_20190605T011459_0600_01.ETinst.au_asm.csv,raster/ECOSTRESS_L3_ET_PT-JPL_05179_015_20190605T011459_0600_01.ETdaily.au_asm.tif,map/ECOSTRESS_L3_ET_PT-JPL_05179_015_20190605T011459_0600_01.ETdaily.au_asm.jpeg,neighborhood/ECOSTRESS_L3_ET_PT-JPL_05179_015_20190605T011459_0600_01.ETdaily.au_asm.csv,,,,,/ops/store2/PRODUCTS/L3_ET_PT_JPL/2019/06/05/ECOSTRESS_L3_ET_PT-JPL_05179_015_20190605T011459_0600_01.h5,raster/ECOSTRESS_L3_ET_PT-JPL_05179_015_20190605T011459_0600_01.ETinstUncertainty.au_asm.tif,map/ECOSTRESS_L3_ET_PT-JPL_05179_015_20190605T011459_0600_01.ETinstUncertainty.au_asm.jpeg,neighborhood/ECOSTRESS_L3_ET_PT-JPL_05179_015_20190605T011459_0600_01.ETinstUncertainty.au_asm.csv,173.02468,2.625908996,171.325,174.904,25,171.9237778,3.047194622,169.102,174.725,9
6/9/19 8:22,0,au_asm,-22.283,133.249,6/8/19 23:33,6/9/19 8:22,8.370555556,5240,16,600,2,287.7999878,211.1607666,303.9292908,,TRUE,TRUE,40640,1,160,85,119,119,0,0,2116,16,0,1,94.37462616,/ops/store2/PRODUCTS/L1B_GEO/2019/06/08/ECOSTRESS_L1B_GEO_05240_016_20190608T233337_0600_02.h5,/ops/store2/PRODUCTS/L3_ET_PT_JPL/2019/06/08/ECOSTRESS_L3_ET_PT-JPL_05240_016_20190608T233337_0600_01.h5,raster/ECOSTRESS_L3_ET_PT-JPL_05240_016_20190608T233337_0600_01.ETinst.au_asm.tif,map/ECOSTRESS_L3_ET_PT-JPL_05240_016_20190608T233337_0600_01.ETinst.au_asm.jpeg,neighborhood/ECOSTRESS_L3_ET_PT-JPL_05240_016_20190608T233337_0600_01.ETinst.au_asm.csv,raster/ECOSTRESS_L3_ET_PT-JPL_05240_016_20190608T233337_0600_01.ETdaily.au_asm.tif,map/ECOSTRESS_L3_ET_PT-JPL_05240_016_20190608T233337_0600_01.ETdaily.au_asm.jpeg,neighborhood/ECOSTRESS_L3_ET_PT-JPL_05240_016_20190608T233337_0600_01.ETdaily.au_asm.csv,,,,,/ops/store2/PRODUCTS/L3_ET_PT_JPL/2019/06/08/ECOSTRESS_L3_ET_PT-JPL_05240_016_20190608T233337_0600_01.h5,raster/ECOSTRESS_L3_ET_PT-JPL_05240_016_20190608T233337_0600_01.ETinstUncertainty.au_asm.tif,map/ECOSTRESS_L3_ET_PT-JPL_05240_016_20190608T233337_0600_01.ETinstUncertainty.au_asm.jpeg,neighborhood/ECOSTRESS_L3_ET_PT-JPL_05240_016_20190608T233337_0600_01.ETinstUncertainty.au_asm.csv,211.36508,0.854598522,210.68,212.039,25,211.6184444,0.946782752,210.981,212.137,9
6/13/19 6:52,0,au_asm,-22.283,133.249,6/12/19 21:52,6/13/19 6:52,6.867222222,5301,17,600,2,284.2999878,79.9630127,969.0220947,,TRUE,TRUE,20162,3,160,119,0,0,51,0,2116,0,0,1,40.60275269,/ops/store2/PRODUCTS/L1B_GEO/2019/06/12/ECOSTRESS_L1B_GEO_05301_017_20190612T215258_0600_02.h5,/ops/store2/PRODUCTS/L3_ET_PT_JPL/2019/06/12/ECOSTRESS_L3_ET_PT-JPL_05301_017_20190612T215258_0600_01.h5,raster/ECOSTRESS_L3_ET_PT-JPL_05301_017_20190612T215258_0600_01.ETinst.au_asm.tif,map/ECOSTRESS_L3_ET_PT-JPL_05301_017_20190612T215258_0600_01.ETinst.au_asm.jpeg,neighborhood/ECOSTRESS_L3_ET_PT-JPL_05301_017_20190612T215258_0600_01.ETinst.au_asm.csv,raster/ECOSTRESS_L3_ET_PT-JPL_05301_017_20190612T215258_0600_01.ETdaily.au_asm.tif,map/ECOSTRESS_L3_ET_PT-JPL_05301_017_20190612T215258_0600_01.ETdaily.au_asm.jpeg,neighborhood/ECOSTRESS_L3_ET_PT-JPL_05301_017_20190612T215258_0600_01.ETdaily.au_asm.csv,,,,,/ops/store2/PRODUCTS/L3_ET_PT_JPL/2019/06/12/ECOSTRESS_L3_ET_PT-JPL_05301_017_20190612T215258_0600_01.h5,raster/ECOSTRESS_L3_ET_PT-JPL_05301_017_20190612T215258_0600_01.ETinstUncertainty.au_asm.tif,map/ECOSTRESS_L3_ET_PT-JPL_05301_017_20190612T215258_0600_01.ETinstUncertainty.au_asm.jpeg,neighborhood/ECOSTRESS_L3_ET_PT-JPL_05301_017_20190612T215258_0600_01.ETinstUncertainty.au_asm.csv,79.963,1.443,79.2415,80.6845,2,,,,,0
6/29/19 14:51,0,au_asm,-22.283,133.249,6/29/19 6:04,6/29/19 14:51,14.86444444,5555,15,600,1,302.9199829,120.4148941,126.1312332,,TRUE,TRUE,61376,1,160,119,0,0,51,0,2116,0,0,1,58.90961075,/ops/store2/PRODUCTS/L1B_GEO/2019/06/29/ECOSTRESS_L1B_GEO_05555_015_20190629T060427_0600_01.h5,/ops/store2/PRODUCTS/L3_ET_PT_JPL/2019/06/29/ECOSTRESS_L3_ET_PT-JPL_05555_015_20190629T060427_0600_01.h5,raster/ECOSTRESS_L3_ET_PT-JPL_05555_015_20190629T060427_0600_01.ETinst.au_asm.tif,map/ECOSTRESS_L3_ET_PT-JPL_05555_015_20190629T060427_0600_01.ETinst.au_asm.jpeg,neighborhood/ECOSTRESS_L3_ET_PT-JPL_05555_015_20190629T060427_0600_01.ETinst.au_asm.csv,raster/ECOSTRESS_L3_ET_PT-JPL_05555_015_20190629T060427_0600_01.ETdaily.au_asm.tif,map/ECOSTRESS_L3_ET_PT-JPL_05555_015_20190629T060427_0600_01.ETdaily.au_asm.jpeg,neighborhood/ECOSTRESS_L3_ET_PT-JPL_05555_015_20190629T060427_0600_01.ETdaily.au_asm.csv,,,,,/ops/store2/PRODUCTS/L3_ET_PT_JPL/2019/06/29/ECOSTRESS_L3_ET_PT-JPL_05555_015_20190629T060427_0600_01.h5,raster/ECOSTRESS_L3_ET_PT-JPL_05555_015_20190629T060427_0600_01.ETinstUncertainty.au_asm.tif,map/ECOSTRESS_L3_ET_PT-JPL_05555_015_20190629T060427_0600_01.ETinstUncertainty.au_asm.jpeg,neighborhood/ECOSTRESS_L3_ET_PT-JPL_05555_015_20190629T060427_0600_01.ETinstUncertainty.au_asm.csv,118.7094167,4.408001313,116.302,121.46625,25,118.150625,4.842950339,115.2115,121.343,9
7/3/19 13:19,0,au_asm,-22.283,133.249,7/3/19 4:23,7/3/19 13:19,13.33166667,5616,17,600,1,305.6199951,169.1583862,127.1498947,,TRUE,TRUE,61376,1,160,0,0,0,51,0,2116,0,0,1,113.1706314,/ops/store2/PRODUCTS/L1B_GEO/2019/07/03/ECOSTRESS_L1B_GEO_05616_017_20190703T042327_0600_01.h5,/ops/store2/PRODUCTS/L3_ET_PT_JPL/2019/07/03/ECOSTRESS_L3_ET_PT-JPL_05616_017_20190703T042327_0600_01.h5,raster/ECOSTRESS_L3_ET_PT-JPL_05616_017_20190703T042327_0600_01.ETinst.au_asm.tif,map/ECOSTRESS_L3_ET_PT-JPL_05616_017_20190703T042327_0600_01.ETinst.au_asm.jpeg,neighborhood/ECOSTRESS_L3_ET_PT-JPL_05616_017_20190703T042327_0600_01.ETinst.au_asm.csv,raster/ECOSTRESS_L3_ET_PT-JPL_05616_017_20190703T042327_0600_01.ETdaily.au_asm.tif,map/ECOSTRESS_L3_ET_PT-JPL_05616_017_20190703T042327_0600_01.ETdaily.au_asm.jpeg,neighborhood/ECOSTRESS_L3_ET_PT-JPL_05616_017_20190703T042327_0600_01.ETdaily.au_asm.csv,,,,,/ops/store2/PRODUCTS/L3_ET_PT_JPL/2019/07/03/ECOSTRESS_L3_ET_PT-JPL_05616_017_20190703T042327_0600_01.h5,raster/ECOSTRESS_L3_ET_PT-JPL_05616_017_20190703T042327_0600_01.ETinstUncertainty.au_asm.tif,map/ECOSTRESS_L3_ET_PT-JPL_05616_017_20190703T042327_0600_01.ETinstUncertainty.au_asm.jpeg,neighborhood/ECOSTRESS_L3_ET_PT-JPL_05616_017_20190703T042327_0600_01.ETinstUncertainty.au_asm.csv,166.39432,6.061241693,162.354,171.03,25,164.8967778,5.181242382,162.336,169.158,9
7/10/19 10:43,0,au_asm,-22.283,133.249,7/10/19 1:52,7/10/19 10:43,10.72027778,5723,15,600,1,301.2599792,203.3143463,152.3400574,,TRUE,TRUE,61376,1,160,0,0,0,51,0,2116,0,0,1,118.8845596,/ops/store2/PRODUCTS/L1B_GEO/2019/07/10/ECOSTRESS_L1B_GEO_05723_015_20190710T015201_0600_01.h5,/ops/store2/PRODUCTS/L3_ET_PT_JPL/2019/07/10/ECOSTRESS_L3_ET_PT-JPL_05723_015_20190710T015201_0600_01.h5,raster/ECOSTRESS_L3_ET_PT-JPL_05723_015_20190710T015201_0600_01.ETinst.au_asm.tif,map/ECOSTRESS_L3_ET_PT-JPL_05723_015_20190710T015201_0600_01.ETinst.au_asm.jpeg,neighborhood/ECOSTRESS_L3_ET_PT-JPL_05723_015_20190710T015201_0600_01.ETinst.au_asm.csv,raster/ECOSTRESS_L3_ET_PT-JPL_05723_015_20190710T015201_0600_01.ETdaily.au_asm.tif,map/ECOSTRESS_L3_ET_PT-JPL_05723_015_20190710T015201_0600_01.ETdaily.au_asm.jpeg,neighborhood/ECOSTRESS_L3_ET_PT-JPL_05723_015_20190710T015201_0600_01.ETdaily.au_asm.csv,,,,,/ops/store2/PRODUCTS/L3_ET_PT_JPL/2019/07/10/ECOSTRESS_L3_ET_PT-JPL_05723_015_20190710T015201_0600_01.h5,raster/ECOSTRESS_L3_ET_PT-JPL_05723_015_20190710T015201_0600_01.ETinstUncertainty.au_asm.tif,map/ECOSTRESS_L3_ET_PT-JPL_05723_015_20190710T015201_0600_01.ETinstUncertainty.au_asm.jpeg,neighborhood/ECOSTRESS_L3_ET_PT-JPL_05723_015_20190710T015201_0600_01.ETinstUncertainty.au_asm.csv,203.13608,2.588547143,202.269,205.185,25,202.6447778,2.90269487,199.189,205.185,9
7/14/19 9:00,0,au_asm,-22.283,133.249,7/14/19 0:10,7/14/19 9:00,9.000833333,5784,10,600,1,286.1000061,183.445816,199.7742615,,TRUE,TRUE,64448,1,160,0,0,0,51,0,2116,0,0,1,112.6062775,/ops/store2/PRODUCTS/L1B_GEO/2019/07/14/ECOSTRESS_L1B_GEO_05784_010_20190714T001057_0600_01.h5,/ops/store2/PRODUCTS/L3_ET_PT_JPL/2019/07/14/ECOSTRESS_L3_ET_PT-JPL_05784_010_20190714T001057_0600_01.h5,raster/ECOSTRESS_L3_ET_PT-JPL_05784_010_20190714T001057_0600_01.ETinst.au_asm.tif,map/ECOSTRESS_L3_ET_PT-JPL_05784_010_20190714T001057_0600_01.ETinst.au_asm.jpeg,neighborhood/ECOSTRESS_L3_ET_PT-JPL_05784_010_20190714T001057_0600_01.ETinst.au_asm.csv,raster/ECOSTRESS_L3_ET_PT-JPL_05784_010_20190714T001057_0600_01.ETdaily.au_asm.tif,map/ECOSTRESS_L3_ET_PT-JPL_05784_010_20190714T001057_0600_01.ETdaily.au_asm.jpeg,neighborhood/ECOSTRESS_L3_ET_PT-JPL_05784_010_20190714T001057_0600_01.ETdaily.au_asm.csv,,,,,/ops/store2/PRODUCTS/L3_ET_PT_JPL/2019/07/14/ECOSTRESS_L3_ET_PT-JPL_05784_010_20190714T001057_0600_01.h5,raster/ECOSTRESS_L3_ET_PT-JPL_05784_010_20190714T001057_0600_01.ETinstUncertainty.au_asm.tif,map/ECOSTRESS_L3_ET_PT-JPL_05784_010_20190714T001057_0600_01.ETinstUncertainty.au_asm.jpeg,neighborhood/ECOSTRESS_L3_ET_PT-JPL_05784_010_20190714T001057_0600_01.ETinstUncertainty.au_asm.csv,183.4177391,0.832061359,182.821,184.059,25,183.3911111,0.743874309,182.906,184.059,9
7/23/19 14:51,0,au_asm,-22.283,133.249,7/23/19 5:50,7/23/19 14:51,14.86472222,5927,12,600,1,307.3999939,106.6963882,110.2423859,,TRUE,TRUE,61376,1,160,0,0,0,51,0,2116,0,0,1,75.35986328,/ops/store2/PRODUCTS/L1B_GEO/2019/07/23/ECOSTRESS_L1B_GEO_05927_012_20190723T055044_0600_01.h5,/ops/store2/PRODUCTS/L3_ET_PT_JPL/2019/07/23/ECOSTRESS_L3_ET_PT-JPL_05927_012_20190723T055044_0600_01.h5,raster/ECOSTRESS_L3_ET_PT-JPL_05927_012_20190723T055044_0600_01.ETinst.au_asm.tif,map/ECOSTRESS_L3_ET_PT-JPL_05927_012_20190723T055044_0600_01.ETinst.au_asm.jpeg,neighborhood/ECOSTRESS_L3_ET_PT-JPL_05927_012_20190723T055044_0600_01.ETinst.au_asm.csv,raster/ECOSTRESS_L3_ET_PT-JPL_05927_012_20190723T055044_0600_01.ETdaily.au_asm.tif,map/ECOSTRESS_L3_ET_PT-JPL_05927_012_20190723T055044_0600_01.ETdaily.au_asm.jpeg,neighborhood/ECOSTRESS_L3_ET_PT-JPL_05927_012_20190723T055044_0600_01.ETdaily.au_asm.csv,,,,,/ops/store2/PRODUCTS/L3_ET_PT_JPL/2019/07/23/ECOSTRESS_L3_ET_PT-JPL_05927_012_20190723T055044_0600_01.h5,raster/ECOSTRESS_L3_ET_PT-JPL_05927_012_20190723T055044_0600_01.ETinstUncertainty.au_asm.tif,map/ECOSTRESS_L3_ET_PT-JPL_05927_012_20190723T055044_0600_01.ETinstUncertainty.au_asm.jpeg,neighborhood/ECOSTRESS_L3_ET_PT-JPL_05927_012_20190723T055044_0600_01.ETinstUncertainty.au_asm.csv,106.9150909,3.885477155,104.87625,108.329,25,106.790125,3.276312654,104.46975,108.329,9
